cue,cui,nombre_oficial,sector,osm_name,osm_type,osm_id,dist_m,name_score,lat,lon
062378100,608100168,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº453,Estatal,Colegio Nacional,way,582413291,1.2,0.38,-33.89808017835969,-60.5807519614801
060803700,608100678,ESCUELA DE EDUCACIÓN PRIMARIA Nº48 MANUEL ALBERTI,Estatal,Escuela primaria 48,way,771492201,1.3,0.34,-33.920766363197316,-60.593883881969624
062209500,608101450,CENTRO DE FORMACIÓN LABORAL N°403,Estatal,Edificio Matilde,way,582400290,1.5,0.2,-33.891005724417944,-60.570676844077674
060804800,608101292,INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº121,Estatal,Escuela Normal,way,397553754,3.5,0.5,-33.89291674886936,-60.58188018915716
060147200,608100293,JARDÍN DE INFANTES Nº904 GUSTAVO MARTINEZ ZUVIRIA,Estatal,Jardín 904,way,1226205094,3.7,0.2,-33.88784007397973,-60.580582541342224
061152900,608100716,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 BARTOLOMÉ MITRE,Estatal,Escuela Industrial,way,582413288,4.0,0.23,-33.88956844947519,-60.58136167025653
061456900,608100031,ESCUELA DE ARTES VISUALES EMILIO PETTORUTI,Estatal,Escuela de Artes Visuales n°501,way,582702949,16.0,0.43,-33.9065636474838,-60.578821429881145
