cue,cui,nombre,sector,domicilio,ambito,lat,lon
061179800,608101356,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 GENERAL TORIBIO DE LUZURIAGA,Estatal,MON. SCALABRINI E/GRANADOS Y MAGNANI 1049,Urbano,-33.88331639687316,-60.55951446208808
060222900,608100621,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 INGENIERO LORENZO R. PARODI,Estatal,INT. RUTAS 188 Y 178,Urbano,-33.927068647381695,-60.571853710087694
062440100,608101356,ESCUELA DE EDUCACIÓN SECUNDARIA N°20,Estatal,MONSEÑOR SCALABRINI 1049,Urbano,-33.88331639687316,-60.55951446208808
061979700,608100697,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 17 DR. RENÉ FAVALORO,Estatal,JULIO DI GANGI 1650,Urbano,-33.86430393379702,-60.570257465215
061871900,608100700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 19 RODOLFO WALSH,Estatal,FLORIDA (E/25 DE MAYO Y DOCTOR ALEM) 425,Urbano,-33.89797848316281,-60.57230593938819
061872000,608100065,ESCUELA DE EDUCACIÓN SECUNDARIA Nº10,Estatal,ESTANISLAO DEL CAMPO 1542,Urbano,-33.90965916386099,-60.55429145735677
061872100,608100666,ESCUELA DE EDUCACIÓN SECUNDARIA Nº11,Estatal,GOLONDRINAS E/ CEIBOS Y CALANDRIAS 2842,Urbano,-33.88445994775318,-60.59451384642939
062047300,608100106,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12,Estatal,PASO E/ JOHN Y EL SOCORRO 1288,Urbano,-33.877588243776955,-60.57187912753755
061979900,608100678,ESCUELA DE EDUCACIÓN SECUNDARIA Nº13,Estatal,AVDA. ANTONIO RIVERO Y S. ELCANO,Urbano,-33.920766363197316,-60.593883881969624
061872300,608101339,ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ATAHUALPA YUPANQUI,Estatal,MAGALLANES 587,Urbano,-33.908471093751054,-60.579381185241786
